"Abrev";"Poblacion";"Ingresos";"Analf";"Esp.Vida";"Homicidio";"Sec.Grad";"Heladas";"Area";"Division"
"California";"CA";3,5188228657782;1,03664511149528;-0,120264658699509;0,649713045545221;0,824692686843785;1,15835205168135;-1,65013179299619;0,914657969974681;"Pacifico"
"Oregon";"OR";-0,449046798951775;0,284689333001211;-0,928292834336835;0,986407955230928;-0,903078014107691;0,830826104847827;-1,17827365767559;0,258527966940689;"Pacifico"
"Kentucky";"KY";-0,217654167028482;-1,28547383442693;0,526157881810352;-0,640950774916647;0,909665016398775;-1,87756153242938;-0,175575120119296;-0,357881185917108;"Sudeste Central"
"Oklahoma";"OK";-0,358629551119555;-0,836619173695887;-0,120264658699509;0,417233226952717;-0,279947597371093;-0,227334646460477;-0,431164943417958;-0,040245224530096;"Sudoeste Central"
"Maryland";"MD";-0,0634623406788716;1,3430588097803;-0,443475928954439;-0,544752229292156;0,314858709513841;-0,139154583851453;-0,057610586289144;-0,682353538481852;"Atlantico Sur"
"Georgia";"GA";0,106253560704577;-0,657739825507871;1,33418605744768;-1,89153186803497;1,84436064150367;-1,6130213446023;-0,863701567461848;-0,157009041312106;"Atlantico Sur"
"Florida";"FL";0,808193493991376;0,541414323456234;-0,928292834336835;-0,192024228669039;0,937989126250439;-0,101363128447584;-1,82707859374142;-0,200437025460275;"Atlantico Sur"
"Nebraska";"NE";-0,604287549290159;0,0329332133291893;0,526157881810352;1,36318559226017;-1,27129144217932;0,742646042238801;0,689498127968485;0,0437213599351444;"Noroeste Central"
"Michigan";"MI";0,983154015318689;0,435411746752225;2,95024240872233;-0,216073865075161;1,05128556565709;-0,0761688248450059;0,414247549031463;-0,170703630337991;"Noreste Central"
"Pennsylvania";"PA";1,55985242434601;-0,0647879120698192;-0,281870293826974;-0,376404774449297;-0,364919926926084;-0,403694771678528;0,433908304669822;-0,299919055931753;"Atlantico Central"
