"Abrev";"Poblacion";"Ingresos";"Analfab";"Esp.Vida";"Homicidio";"Sec.Grad";"Heladas";"Area";"Division";"Ing.Cat"
"Alabama";"AL";-0,16982323314044;-1,43122737739494;1,4731520567581;-1,48268804913091;2,18424995972363;-1,52484128199328;-1,65013179299619;-0,237312105146218;"Atlantico Central";"(-1.84,-0.625]"
"Alaska";"AK";-0,8516238258428;3,02584971495645;0,515788755388856;-1,27425786694451;1,10793378536042;1,67483527553421;0,945087951267147;5,38579954356845;"Noreste Central";"(1.81,3.03]"
"Arizona";"AZ";-0,464151304390105;0,0693715990711925;0,994470406073477;-0,280206228824818;0,116589940552196;0,59148022062333;-1,74843557118799;0,446425142643778;"Sudeste Central";"(-0.625,0.594]"
"Arkansas";"AR";-0,485549353761071;-1,83867478160097;1,15403095630168;-0,192024228669039;0,768044467140457;-1,70120140721133;-0,765397789270055;-0,223824679489355;"Pacifico";"(-1.84,-0.625]"
"California";"CA";3,5188228657782;1,03664511149528;-0,122453445523973;0,649713045545221;0,824692686843785;1,15835205168135;-1,65013179299619;0,914657969974681;"Noreste Central";"(0.594,1.81]"
"Colorado";"CO";-0,39513210592885;0,655698351465244;-0,760695646436802;0,930292136949982;-0,166651157964439;1,32211502509811;1,22033853020417;0,341197054515738;"Sudeste Central";"(0.594,1.81]"
"Connecticut";"CT";-0,277862403984044;1,42421703256931;-0,122453445523973;1,26698704663569;-1,21464322247599;0,326940032796253;0,689498127968485;-0,737186411261451;"Sudoeste Central";"(0.594,1.81]"
"Delaware";"DE";-0,806729879123321;0,531476581890233;-0,441574545980387;-0,67301695679147;-0,33659581707442;0,150579907578203;-0,0182890750124267;-0,768588016671124;"Noroeste Central";"(-0.625,0.594]"
"Florida";"FL";0,808193493991376;0,541414323456234;-0,760695646436802;-0,192024228669039;0,937989126250439;-0,101363128447584;-1,82707859374142;-0,200437025460275;"Noroeste Central";"(-0.625,0.594]"
"Georgia";"GA";0,106253560704577;-0,657739825507871;1,31359150652989;-1,89153186803497;1,84436064150367;-1,6130213446023;-0,863701567461848;-0,157009041312106;"Noroeste Central";"(-1.84,-0.625]"
"Hawaii";"HI";-0,74610207257225;0,786545282084255;2,11139425767093;2,16484013913089;-0,33659581707442;1,07017198907232;-2,04334690576337;-0,720144498325576;"Noreste Central";"(0.594,1.81]"
"Idaho";"ID";-0,757640236448751;-0,611363698199867;-0,920256196665009;0,777977773044546;-0,591512805739392;0,76784034584138;0,433908304669822;0,111256618236365;"Sudeste Central";"(-0.625,0.594]"
"Illinois";"IL";1,42076510343473;1,02505107966828;-0,441574545980387;-0,608884593041813;0,824692686843785;-0,101363128447584;0,453569060308181;-0,18235929567929;"Nueva Inglaterra";"(0.594,1.81]"
"Indiana";"IN";0,186391353446824;-0,0498812997208179;-0,760695646436802;-0,0156602283574797;-0,0816788284094485;-0,0635716730437164;0,355265282116388;-0,39662073592425;"Nueva Inglaterra";"(-0.625,0.594]"
"Kansas";"KS";-0,449885938142794;0,299595945350213;-0,920256196665009;1,34715250132276;-0,8181056845527;0,818228953046537;0,197979237009518;0,101552649897959;"Montania";"(-0.625,0.594]"
"Kentucky";"KY";-0,217654167028482;-1,28547383442693;0,356228205160649;-0,640950774916647;0,909665016398775;-1,87756153242938;-0,175575120119296;-0,357881185917108;"Atlantico Central";"(-1.84,-0.625]"
"Maine";"ME";-0,706242960998881;-1,31528705912493;-0,760695646436802;-0,408470956324131;-1,32793966188264;0,163177059379492;1,12203475201237;-0,45306730231518;"Sudoeste Central";"(-1.84,-0.625]"
"Maryland";"MD";-0,0634623406788716;1,3430588097803;-0,441574545980387;-0,544752229292156;0,314858709513841;-0,139154583851453;-0,057610586289144;-0,682353538481852;"Noroeste Central";"(0.594,1.81]"
"Massachusetts";"MA";0,291493537121865;0,442036907796225;-1,23937729712142;0,745911591169712;-1,15799500277266;0,641868827828487;-0,0182890750124267;-0,704868925693996;"Sudoeste Central";"(-0.625,0.594]"
"Michigan";"MI";0,983154015318689;0,435411746752225;2,43051535812734;-0,216073865075161;1,05128556565709;-0,0761688248450059;0,414247549031463;-0,170703630337991;"Nueva Inglaterra";"(-0.625,0.594]"
"Missouri";"MO";0,0718488538728275;-0,387764512964847;-0,601135096208594;-0,167974592262916;0,541451588327149;-0,580054896896579;0,0800147031793665;-0,0379228141300056;"Montania";"(-0.625,0.594]"
"Montana";"MT";-0,771695817898308;-0,233729518691834;-0,920256196665009;-0,272189683356107;-0,676485135294383;0,730048890437512;1,00407021818222;0,797185436403911;"Sudeste Central";"(-0.625,0.594]"
"Nebraska";"NE";-0,604287549290159;0,0329332133291893;0,0371071047042343;1,36318559226017;-1,27129144217932;0,742646042238801;0,689498127968485;0,0437213599351444;"Montania";"(-0.625,0.594]"
"Nevada";"NV";-0,804422246348021;1,09461527063028;-1,07981674689322;-1,49872114006832;1,16458200506375;1,48587799851487;1,65287515424806;0,407958176016929;"Sudeste Central";"(0.594,1.81]"
"New Hampshire";"NH";-0,757850021246506;-0,343044675917844;0,0371071047042343;0,264918863047281;-1,15799500277266;0,528494461616883;1,37762457531104;-0,691774020104754;"Sudoeste Central";"(-0.625,0.594]"
"New Jersey";"NJ";0,61015664491106;1,24036881359829;-1,07981674689322;0,0244224989860657;-0,619836915591055;-0,113960280248874;0,217639992647877;-0,708194442933562;"Atlantico Sur";"(0.594,1.81]"
"New Mexico";"NM";-0,688201468391988;-1,46932205339794;1,63271260698631;-0,464586774605088;0,654748027733803;0,226162818385939;0,31594377083967;0,533597307661256;"Sudeste Central";"(-1.84,-0.625]"
"New York";"NY";2,86387472718843;0,687167866424247;0,356228205160649;-0,280206228824818;0,994637345953766;-0,0887659766462945;-0,431164943417958;-0,268681000550256;"Atlantico Sur";"(0.594,1.81]"
"North Carolina";"NC";0,213243807559409;-1,0154985218839;0,994470406073477;-1,35442332163159;1,05128556565709;-1,87756153242938;-0,470486454694675;-0,25813747540055;"Noroeste Central";"(-1.84,-0.625]"
"North Dakota";"ND";-0,794562360853556;0,991925274448273;-0,601135096208594;1,5074834106969;-1,69615308995427;-0,391097619877239;1,61355364297134;-0,0348916869411552;"Montania";"(0.594,1.81]"
"Ohio";"OH";1,32384452687211;0,120716597162197;-0,601135096208594;-0,0637595011697251;0,00329350114554228;-0,0257802176398478;0,394586793393105;-0,343434266761616;"Nueva Inglaterra";"(-0.625,0.594]"
"Oklahoma";"OK";-0,358629551119555;-0,836619173695887;-0,122453445523973;0,417233226952717;-0,279947597371093;-0,227334646460477;-0,431164943417958;-0,040245224530096;"Pacifico";"(-1.84,-0.625]"
"Oregon";"OR";-0,449046798951775;0,284689333001211;-0,920256196665009;0,986407955230928;-0,903078014107691;0,830826104847827;-1,17827365767559;0,258527966940689;"Noreste Central";"(-0.625,0.594]"
"Pennsylvania";"PA";1,55985242434601;-0,0647879120698192;-0,28201399575218;-0,376404774449297;-0,364919926926084;-0,403694771678528;0,433908304669822;-0,299919055931753;"Atlantico Sur";"(-0.625,0.594]"
"Rhode Island";"RI";-0,732885630313712;0,115747726379197;0,196667654932442;0,802027409450669;-1,41291199143763;-0,882386540127523;0,453569060308181;-0,778760828423633;"Sudoeste Central";"(-0.625,0.594]"
"South Carolina";"SC";-0,337441286546343;-1,41300818452394;1,79227315721451;-2,35649150522;1,19290611491541;-1,96574159503841;-0,765397789270055;-0,460645120287306;"Noroeste Central";"(-1.84,-0.625]"
